,Unnamed: 0,Single,Travel_Frequently,Educ.Human Resources,Married,Dept. Human Resources,Divorced,Non-Travel,Travel_Rarely,Manufacturing Director,Research Director,hora_ingreso,Manager,Sales,Sales Executive,Research Scientist,Healthcare Representative,Research & Development,Rol.Human Resources,Sales Representative,Laboratory Technician,Medical,Marketing,Technical Degree,Life Sciences,Other,hora_salida,TotalWorkingYears,Age,JobSatisfaction,WorkLifeBalance,YearsWithCurrManager,EnvironmentSatisfaction,YearsSinceLastPromotion,Resignation
0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,9.071692111959289,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,15.588517811704836,1.0,51,4,2,0,3,0,0.0
1,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.188963104325705,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,16.174395674300257,6.0,31,2,4,4,3,1,1.0
2,2,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.486482188295174,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.957442748091603,5.0,32,2,1,3,2,0,0.0
3,3,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,9.16125954198473,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,15.618893129770992,13.0,38,4,3,5,4,7,0.0
4,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9.578212468193389,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,17.062627226463114,9.0,32,1,3,4,4,0,0.0
5,5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,9.259478371501272,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,19.026304071246823,28.0,46,2,2,7,3,7,0.0
6,6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9.027894402035622,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,15.171787531806617,5.0,28,3,1,0,1,0,1.0
7,7,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,9.509128498727735,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,15.749872773536891,10.0,29,2,3,0,1,0,0.0
8,8,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,9.019338422391856,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,15.362181933842251,10.0,31,4,3,8,2,7,0.0
9,9,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,9.100826972010177,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,15.436132315521638,6.0,25,1,3,5,2,1,0.0
10,10,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,9.409192111959284,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,17.138008905852423,21.0,45,4,3,10,3,4,0.0
11,11,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,9.421183206106868,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,15.927385496183197,16.0,36,4,3,11,2,10,0.0
